reviewText,sentiment,theme
"Timed to be just long enough for most youngsters' brief attention spans -- and it's packed with plenty of interesting activity, both on land and under the water.",positive,entertainment
"It doesn't matter if a movie costs 300 million or only 300 dollars; good is good and bad is bad, and Bloodmask: The Possession of Nicole Lameroux is just plain bad.",negative,Movie quality
"The choreography is so precise and lifelike at points one might wonder whether the movie was rotoscoped, but no live-action reference footage was used. The quality is due to the skill of the animators and Kodama's love for professional wrestling.",positive,animation/choreography
The film's out-of-touch attempts at humor may find them hunting for the reason the franchise was so popular in the first place.,negative,cinema/franchise
Its clumsy determination is endearing and sometimes wildly entertaining,positive,комедийная настойчивость
"With every new minute, there's another head-scratching choice that's bound to elicit some amazing out-loud responses, so this feels like a true party flick.",positive,развлекательный фильм
"Emotionless reaction shots, zero characterization, guns that have absolutely no special effects when blasted - Dangerous Men is rare winning dish from a one star restaurant.",negative,фильм
"Conceivably, it could serve as a primer for students on how not to make a movie, and perhaps as a deconstruction of filmic conventions for the more theoretical minded.",negative,Film Analysis
"If you're not a fan of garbage cinema, even for the fun of it, Dangerous Men is best to be avoided.",negative,критика фильма
"""Dangerous Men,"" the picture's production notes inform, took 26 years to reach the big screen. After having seen it, I wonder: What was the rush?",negative,film
